Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../images_ouput\2022_12_22_16_25_34_787.jpg;21.0;0.2;0;-0.141;106.6774;84.5281;0.0002;94.651;359.6105
../images_ouput\2022_12_22_16_25_34_801.jpg;21.0;0.2;0;-0.141;106.6774;84.5281;0.0002;94.651;359.6105
../images_ouput\2022_12_22_16_25_34_812.jpg;21.0;0.2;0;-0.141;106.6774;84.5281;0.0002;94.651;359.6105
../images_ouput\2022_12_22_16_25_34_870.jpg;21.0;0.2;0;-0.164;106.6805;84.5174;0.0625;94.1393;359.4678
../images_ouput\2022_12_22_16_25_34_883.jpg;21.0;0.2;0;-0.164;106.6805;84.5174;0.0625;94.1393;359.4678
../images_ouput\2022_12_22_16_25_34_895.jpg;21.0;0.2;0;-0.164;106.6805;84.5174;0.0625;94.1393;359.4678
../images_ouput\2022_12_22_16_25_34_950.jpg;21.0;0.2;0;-0.2069;106.6852;84.502;0.0138;93.6428;359.3313
../images_ouput\2022_12_22_16_25_34_964.jpg;21.0;0.2;0;-0.2069;106.6852;84.502;0.0138;93.6428;359.3313
../images_ouput\2022_12_22_16_25_34_976.jpg;21.0;0.2;0;-0.2069;106.6852;84.502;0.0138;93.6428;359.3313
../images_ouput\2022_12_22_16_25_35_015.jpg;21.0;0.2;0;-0.2734;106.6903;84.4781;359.798;93.1236;359.2493
../images_ouput\2022_12_22_16_25_35_034.jpg;21.0;0.2;0;-0.2897;106.6916;84.4714;359.7369;92.9946;359.2402
../images_ouput\2022_12_22_16_25_35_048.jpg;21.0;0.2;0;-0.2897;106.6916;84.4714;359.7369;92.9946;359.2402
../images_ouput\2022_12_22_16_25_35_061.jpg;21.0;0.2;0;-0.3024;106.6932;84.4644;359.6774;92.7593;359.2309
../images_ouput\2022_12_22_16_25_35_097.jpg;21.0;0.2;0;-0.33;106.6968;84.4496;359.5624;92.1732;359.2259
../images_ouput\2022_12_22_16_25_35_117.jpg;21.0;0.2;0;-0.3503;106.6986;84.442;359.5172;91.8502;359.2387
../images_ouput\2022_12_22_16_25_35_132.jpg;21.0;0.2;0;-0.3503;106.6986;84.442;359.5172;91.8502;359.2387
../images_ouput\2022_12_22_16_25_35_143.jpg;21.0;0.2;0;-0.3471;106.6999;84.4349;359.4959;91.5851;359.2773
../images_ouput\2022_12_22_16_25_35_182.jpg;21.0;0.2;0;-0.3546;106.702;84.421;359.4818;91.2146;359.3893
../images_ouput\2022_12_22_16_25_35_203.jpg;21.0;0.2;0;-0.3801;106.7032;84.4134;359.4661;91.0433;359.4469
